"Identification code",Name,"Members FTE","Lobbying cost","Interest represented","Head office","EU office","EP passes on 2026-05-25","all EP passes",Meetings,"Lobbyfacts URL"
77608353460-77,"RWE AG",6.5,1750000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,3,48,65,https://www.lobbyfacts.eu/datacard/rwe-ag?rid=77608353460-77
7824139202-85,"EUROPEAN APPAREL AND TEXTILE CONFEDERATION",12.75,1750000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,7,67,41,https://www.lobbyfacts.eu/datacard/european-apparel-and-textile-confederation?rid=7824139202-85
8765978796-80,"European Savings and Retail Banking Group",11.5,1750000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,12,158,32,https://www.lobbyfacts.eu/datacard/european-savings-and-retail-banking-group?rid=8765978796-80
90142503473-81,"Vodafone Belgium SA",10.5,1750000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,7,77,212,https://www.lobbyfacts.eu/datacard/vodafone-belgium-sa?rid=90142503473-81
915519211566-03,"Associazione Bancaria Italiana",8,1750000,"Promotes their own interests or the collective interests of their members",ITALY,BELGIUM,8,67,59,https://www.lobbyfacts.eu/datacard/associazione-bancaria-italiana?rid=915519211566-03
03013154889-05,"Afore Consulting",2.4,1740000,"Advances interests of their clients",BELGIUM,BELGIUM,7,200,58,https://www.lobbyfacts.eu/datacard/afore-consulting?rid=03013154889-05
959290939374-23,"EU Focus Group",12.5,1620000,"Advances interests of their clients",BELGIUM,BELGIUM,,8,4,https://www.lobbyfacts.eu/datacard/eu-focus-group?rid=959290939374-23
712987314570-57,"Hanover Communications International",13.5,1565000,"Advances interests of their clients",BELGIUM,BELGIUM,7,146,7,https://www.lobbyfacts.eu/datacard/hanover-communications-international?rid=712987314570-57
041415315167-65,"Managed Funds Association",3.4,1500000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,2,4,38,https://www.lobbyfacts.eu/datacard/managed-funds-association?rid=041415315167-65
08957111909-85,"Connect Europe",7.5,1500000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,6,77,111,https://www.lobbyfacts.eu/datacard/connect-europe?rid=08957111909-85
16822412339-79,"Syngenta Crop Protection AG",1.85,1500000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,BELGIUM,3,50,31,https://www.lobbyfacts.eu/datacard/syngenta-crop-protection-ag?rid=16822412339-79
251010297434-26,"Superintelligence Computing Systems SICSAI AB",0.1,1500000,"Promotes their own interests or the collective interests of their members",SWEDEN,SWEDEN,,,,https://www.lobbyfacts.eu/datacard/superintelligence-computing-systems-sicsai-ab?rid=251010297434-26
271912611231-56,"Deutsche Bank AG",3.3,1500000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,4,49,177,https://www.lobbyfacts.eu/datacard/deutsche-bank-ag?rid=271912611231-56
302141215278-05,"Association of Cities and Regions for sustainable Resource management",13.6,1500000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,2,42,1,https://www.lobbyfacts.eu/datacard/association-of-cities-and-regions-for-sustainable-resource-management?rid=302141215278-05
335646192149-11,"Direction des Services de la Navigation Aérienne",0.5,1500000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,1,https://www.lobbyfacts.eu/datacard/direction-des-services-de-la-navigation-aérienne?rid=335646192149-11
34369111614-57,"Société Générale",1.85,1500000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,2,29,84,https://www.lobbyfacts.eu/datacard/société-générale?rid=34369111614-57
400736830441-25,"Vereniging van de Nederlandse Pluimveeverwerkende Industrie",7.5,1500000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,5,https://www.lobbyfacts.eu/datacard/vereniging-van-de-nederlandse-pluimveeverwerkende-industrie?rid=400736830441-25
433743725252-26,"MedTech Europe",2.95,1500000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,5,51,83,https://www.lobbyfacts.eu/datacard/medtech-europe?rid=433743725252-26
45013506457-28,"TÜV-Verband e. V.",10.85,1500000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,2,49,4,https://www.lobbyfacts.eu/datacard/tüv-verband-e-v?rid=45013506457-28
479468313744-50,Ibec,10.8,1500000,"Promotes their own interests or the collective interests of their members",IRELAND,BELGIUM,7,36,68,https://www.lobbyfacts.eu/datacard/ibec?rid=479468313744-50
51894741860-19,"Nederlandse Vereniging van Banken / Dutch Banking Association",8.25,1500000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,BELGIUM,3,28,12,https://www.lobbyfacts.eu/datacard/nederlandse-vereniging-van-banken---dutch-banking-association?rid=51894741860-19
5265780509-97,"American Chamber of Commerce to the European Union",10.2,1500000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,16,158,234,https://www.lobbyfacts.eu/datacard/american-chamber-of-commerce-to-the-european-union?rid=5265780509-97
57868523887-16,"European Disability Forum",19,1500000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,11,128,51,https://www.lobbyfacts.eu/datacard/european-disability-forum?rid=57868523887-16
603938091767-23,"European Telecommunications Standards Institute",2,1500000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,2,3,10,https://www.lobbyfacts.eu/datacard/european-telecommunications-standards-institute?rid=603938091767-23
61291462764-77,SANOFI,2.5,1500000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,4,50,59,https://www.lobbyfacts.eu/datacard/sanofi?rid=61291462764-77
68208004617-79,"YARA  BELGIUM S.A.",5,1500000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,5,31,57,https://www.lobbyfacts.eu/datacard/yara--belgium-sa?rid=68208004617-79
701266814986-18,"The Goldman Sachs Group, Inc.",1.45,1500000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",1,7,92,https://www.lobbyfacts.eu/datacard/the-goldman-sachs-group-inc?rid=701266814986-18
7574621118-27,"Community of European Railway and Infrastructure Companies",5.5,1500000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,9,211,85,https://www.lobbyfacts.eu/datacard/community-of-european-railway-and-infrastructure-companies?rid=7574621118-27
78787381113-69,"BNP PARIBAS",5,1500000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,5,49,130,https://www.lobbyfacts.eu/datacard/bnp-paribas?rid=78787381113-69
96816064173-47,"BVI Bundesverband Investment und Asset Management e.V.",12.35,1500000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,7,62,47,https://www.lobbyfacts.eu/datacard/bvi-bundesverband-investment-und-asset-management-ev?rid=96816064173-47
207783440380-27,"Shearwater Global",8.35,1475000,"Advances interests of their clients","UNITED KINGDOM",BELGIUM,8,33,7,https://www.lobbyfacts.eu/datacard/shearwater-global?rid=207783440380-27
52836621780-65,"Weber Shandwick",20.25,1400000,"Advances interests of their clients",BELGIUM,BELGIUM,13,228,25,https://www.lobbyfacts.eu/datacard/weber-shandwick?rid=52836621780-65
23020671103-67,"SEC NEWGATE EU",8.85,1345000,"Advances interests of their clients",BELGIUM,BELGIUM,11,195,15,https://www.lobbyfacts.eu/datacard/sec-newgate-eu?rid=23020671103-67
0014082722-83,"EUROCHAMBRES – Association of European Chambers of Commerce and Industry",25,1250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,12,123,125,https://www.lobbyfacts.eu/datacard/eurochambres-–-association-of-european-chambers-of-commerce-and-industry?rid=0014082722-83
002278013515-26,Uber,3.1,1250000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,BELGIUM,3,25,102,https://www.lobbyfacts.eu/datacard/uber?rid=002278013515-26
035366013790-68,"Koninklijke Philips",4.75,1250000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,BELGIUM,4,40,54,https://www.lobbyfacts.eu/datacard/koninklijke-philips?rid=035366013790-68
0711626572-26,"CropLife Europe",2.5,1250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,8,77,56,https://www.lobbyfacts.eu/datacard/croplife-europe?rid=0711626572-26
07234236863-59,"Unione Regionale delle Camere di Commercio del Veneto",8.85,1250000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,3,31,,https://www.lobbyfacts.eu/datacard/unione-regionale-delle-camere-di-commercio-del-veneto?rid=07234236863-59
079114149499-07,"European Organisation for Civil Aviation Equipment",5.75,1250000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/european-organisation-for-civil-aviation-equipment?rid=079114149499-07
095489898042-54,"VIGILANT project",1.25,1250000,"Promotes their own interests or the collective interests of their members",IRELAND,IRELAND,,,,https://www.lobbyfacts.eu/datacard/vigilant-project?rid=095489898042-54
1095068839-59,"Ingka Services A.B.",7.4,1250000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,BELGIUM,3,69,51,https://www.lobbyfacts.eu/datacard/ingka-services-ab?rid=1095068839-59
13324391892-74,"EnBW Energie Baden-Württemberg AG",5.95,1250000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,2,66,31,https://www.lobbyfacts.eu/datacard/enbw-energie-baden-württemberg-ag?rid=13324391892-74
1413466815-09,"Manufacture Française des Pneumatiques Michelin",3.5,1250000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,4,54,65,https://www.lobbyfacts.eu/datacard/manufacture-française-des-pneumatiques-michelin?rid=1413466815-09
146537115285-34,"Booking.com B.V.",3.75,1250000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,3,16,59,https://www.lobbyfacts.eu/datacard/bookingcom-bv?rid=146537115285-34
15366395387-57,"Nestlé S.A.",8.5,1250000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,BELGIUM,4,85,47,https://www.lobbyfacts.eu/datacard/nestlé-sa?rid=15366395387-57
179370613236-62,BPCE,2.7,1250000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,4,19,37,https://www.lobbyfacts.eu/datacard/bpce?rid=179370613236-62
19093363838-48,"Platform for International Cooperation on Undocumented Migrants",8.75,1250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,5,114,18,https://www.lobbyfacts.eu/datacard/platform-for-international-cooperation-on-undocumented-migrants?rid=19093363838-48
215793594746-74,"Anna Lindh Foundation for Dialogue between Cultures",6,1250000,"Promotes their own interests or the collective interests of their members",EGYPT,EGYPT,,,4,https://www.lobbyfacts.eu/datacard/anna-lindh-foundation-for-dialogue-between-cultures?rid=215793594746-74
23527541824-60,ArcelorMittal,5.15,1250000,"Promotes their own interests or the collective interests of their members",LUXEMBOURG,BELGIUM,4,40,171,https://www.lobbyfacts.eu/datacard/arcelormittal?rid=23527541824-60
26986828838-57,"CANSO - Civil Air Navigation Services Organisation",3,1250000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,BELGIUM,4,43,28,https://www.lobbyfacts.eu/datacard/canso---civil-air-navigation-services-organisation?rid=26986828838-57
283282925136-45,"Europäischer Verband Beruflicher Bildungsträger",9.25,1250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,2,2,https://www.lobbyfacts.eu/datacard/europäischer-verband-beruflicher-bildungsträger?rid=283282925136-45
293502227711-32,"Planet Labs",0.2,1250000,"Promotes their own interests or the collective interests of their members","UNITED STATES",GERMANY,,7,39,https://www.lobbyfacts.eu/datacard/planet-labs?rid=293502227711-32
358284014848-82,"industriAll European Trade Union",27.25,1250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,9,68,101,https://www.lobbyfacts.eu/datacard/industriall-european-trade-union?rid=358284014848-82
36423781099-10,AXA,4.6,1250000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,16,30,https://www.lobbyfacts.eu/datacard/axa?rid=36423781099-10
383658039791-39,"Schwarz Corporate Affairs International GmbH",6.15,1250000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,4,32,39,https://www.lobbyfacts.eu/datacard/schwarz-corporate-affairs-international-gmbh?rid=383658039791-39
383931125448-18,INNCEINNMAT,0.75,1250000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/innceinnmat?rid=383931125448-18
38589651649-14,"Stichting European Federation of Energy Traders  (We operate under the name Energy Traders Europe)",6.65,1250000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,BELGIUM,8,44,21,https://www.lobbyfacts.eu/datacard/stichting-european-federation-of-energy-traders--we-operate-under-the-name-energy-traders-europe?rid=38589651649-14
4016736872-59,"General Electric Company",1.95,1250000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,6,83,115,https://www.lobbyfacts.eu/datacard/general-electric-company?rid=4016736872-59
4263301811-33,"Pfizer Inc.",1.5,1250000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,4,59,22,https://www.lobbyfacts.eu/datacard/pfizer-inc?rid=4263301811-33
438239099195-29,"VCG.AI GmbH",15.5,1250000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/vcgai-gmbh?rid=438239099195-29
5189667783-94,"Zentralverband des Deutschen Handwerks e.V.",14,1250000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,8,105,76,https://www.lobbyfacts.eu/datacard/zentralverband-des-deutschen-handwerks-ev?rid=5189667783-94
550494915045-08,"London Stock Exchange Group",6.35,1250000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM",BELGIUM,4,38,65,https://www.lobbyfacts.eu/datacard/london-stock-exchange-group?rid=550494915045-08
55820581197-35,"SMEunited aisbl",13,1250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,14,85,215,https://www.lobbyfacts.eu/datacard/smeunited-aisbl?rid=55820581197-35
587836516420-04,"Finanzierungsagentur für Social Entrepreneurship",11.25,1250000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/finanzierungsagentur-für-social-entrepreneurship?rid=587836516420-04
60052162589-72,"Deutsche Telekom",5.6,1250000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,6,73,157,https://www.lobbyfacts.eu/datacard/deutsche-telekom?rid=60052162589-72
600525713796-88,"Assicurazioni Generali S.p.A",3.95,1250000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,4,44,40,https://www.lobbyfacts.eu/datacard/assicurazioni-generali-spa?rid=600525713796-88
60975211600-74,"Invest Europe",4.5,1250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,6,78,53,https://www.lobbyfacts.eu/datacard/invest-europe?rid=60975211600-74
6256831207-27,"ENEL SpA",6,1250000,"Promotes their own interests or the collective interests of their members",ITALY,BELGIUM,5,109,162,https://www.lobbyfacts.eu/datacard/enel-spa?rid=6256831207-27
62722978644-95,"European Association of Mining Industries, Metal Ores & Industrial Minerals",8.25,1250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,5,50,63,https://www.lobbyfacts.eu/datacard/european-association-of-mining-industries-metal-ores--industrial-minerals?rid=62722978644-95
